Data,                   Aplus,     Aminus,     Fr,         Fl,         F0,       N1,    N2,    N3
dataA,                  0.578048,  -0.843745, -0.015888,   0.254558,   0.761331
dataB,                  0.579227,  -0.848258, -0.022517,   0.251323,   0.771195
dataC,                  0.593342,  -0.836551, -0.011461,   0.236095,   0.775365
dataD,                  0.587559,  -0.841796, -0.016608,   0.242174,   0.774434
ZqqZll,                 0.545455,  -0.722222,  0.162901,   0.342828,   0.494271
WqqZll,                 0.500000,  -0.725000,  0.175330,   0.404352,   0.420318
WpqqWmlv,               0.595960,  -0.737374,  0.124008,   0.267949,   0.608043
WplvWmqq,               0.565217,  -0.695652,  0.192380,   0.325146,   0.482475
WlvZqq,                 0.521314,  -0.749126,  0.134528,   0.366413,   0.499059
llll,                   0.629630,  -0.777778,  0.056401,   0.207197,   0.736402
lllv,                   0.626043,  -0.672788,  0.202082,   0.249662,   0.548257
llvv,                   0.583630,  -0.683274,  0.202822,   0.304247,   0.492931
lvvv,                   0.603563,  -0.679287,  0.201179,   0.278256,   0.520565
Zee,                    0.521739,  -0.717391,  0.178023,   0.377172,   0.444804
Zmumu,                  0.560976,  -0.756098,  0.110762,   0.309371,   0.579867
Ztautau,                0.076923,  -0.846154,  0.159943,   0.942923,  -0.102867
single_top_tchan,       0.617322,  -0.838403, -0.022580,   0.202451,   0.820129
single_antitop_tchan,   0.622904,  -0.828548, -0.011022,   0.198298,   0.812724
single_top_schan,       0.605540,  -0.849861, -0.034128,   0.214560,   0.819568
single_antitop_schan,   0.544894,  -0.832217,  0.011820,   0.304278,   0.683902
single_top_wtchan,      0.598339,  -0.776675,  0.069104,   0.250628,   0.680268
single_antitop_wtchan,  0.605855,  -0.777873,  0.064769,   0.239862,   0.695369
ttbar_lep,              0.582392,  -0.850843, -0.027203,   0.246046,   0.781157
Wplusenu,               0.517241,  -0.586207,  0.360057,   0.430255,   0.209688
Wplusmunu,              0.760000,  -0.760000,  0.034246,   0.034246,   0.931507
Wplustaunu,             1.000000,  -1.000000, -0.381636,  -0.381636,   1.763272
Wminusenu,              0.818182,  -0.636364,  0.183492,  -0.001576,   0.818085
Wminusmunu,             0.777778,  -0.666667,  0.156258,   0.043161,   0.800581
Wminustaunu,            1.000000,   1.000000,  2.369081,   0.333333,  -1.702414

dataA, 	0.578048, 	-0.843745, 	-0.015888, 	0.254558, 	0.761331, 	5829, 	840, 	4989

dataA, 	0.578048, 	-0.843745, 	-0.015888, 	0.254558, 	0.761331, 	5829, 	840, 	4989
dataB, 	0.579227, 	-0.848258, 	-0.022517, 	0.251323, 	0.771195, 	21888, 	3186, 	18702
dataC, 	0.593342, 	-0.836551, 	-0.011461, 	0.236095, 	0.775365, 	31776, 	4208, 	27568
dataD, 	0.587559, 	-0.841796, 	-0.016608, 	0.242174, 	0.774434, 	51015, 	7042, 	43973
ZqqZll, 	0.545455, 	-0.722222, 	0.162901, 	0.342828, 	0.494271, 	682, 	70, 	612
WqqZll, 	0.500000, 	-0.725000, 	0.175330, 	0.404352, 	0.420318, 	69, 	9, 	60
WpqqWmlv, 	0.595960, 	-0.737374, 	0.124008, 	0.267949, 	0.608043, 	86, 	7, 	79
WplvWmqq, 	0.565217, 	-0.695652, 	0.192380, 	0.325146, 	0.482475, 	78, 	6, 	72
WlvZqq, 	0.521314, 	-0.749126, 	0.134528, 	0.366413, 	0.499059, 	2503, 	326, 	2177
llll, 	0.629630, 	-0.777778, 	0.056401, 	0.207197, 	0.736402, 	264, 	22, 	242
lllv, 	0.626043, 	-0.672788, 	0.202082, 	0.249662, 	0.548257, 	501, 	14, 	487
llvv, 	0.583630, 	-0.683274, 	0.202822, 	0.304247, 	0.492931, 	473, 	28, 	445
lvvv, 	0.603563, 	-0.679287, 	0.201179, 	0.278256, 	0.520565, 	377, 	17, 	360
Zee, 	0.521739, 	-0.717391, 	0.178023, 	0.377172, 	0.444804, 	79, 	9, 	70
Zmumu, 	0.560976, 	-0.756098, 	0.110762, 	0.309371, 	0.579867, 	36, 	4, 	32
Ztautau, 	0.076923, 	-0.846154, 	0.159943, 	0.942923, 	-0.102867, 	12, 	5, 	7
single_top_tchan, 	0.617322, 	-0.838403, 	-0.022580, 	0.202451, 	0.820129, 	10910, 	1312, 	9598
single_antitop_tchan, 	0.622904, 	-0.828548, 	-0.011022, 	0.198298, 	0.812724, 	11177, 	1257, 	9920
single_top_schan, 	0.605540, 	-0.849861, 	-0.034128, 	0.214560, 	0.819568, 	3339, 	441, 	2898
single_antitop_schan, 	0.544894, 	-0.832217, 	0.011820, 	0.304278, 	0.683902, 	3418, 	536, 	2882
single_top_wtchan, 	0.598339, 	-0.776675, 	0.069104, 	0.250628, 	0.680268, 	16468, 	1653, 	14815
single_antitop_wtchan, 	0.605855, 	-0.777873, 	0.064769, 	0.239862, 	0.695369, 	16640, 	1610, 	15030
ttbar_lep, 	0.582392, 	-0.850843, 	-0.027203, 	0.246046, 	0.781157, 	1163660, 	168780, 	994880
Wplusenu, 	0.517241, 	-0.586207, 	0.360057, 	0.430255, 	0.209688, 	23, 	1, 	22
Wplusmunu, 	0.760000, 	-0.760000, 	0.034246, 	0.034246, 	0.931507, 	22, 	0, 	22
Wplustaunu, 	1.000000, 	-1.000000, 	-0.381636, 	-0.381636, 	1.763272, 	1, 	0, 	1
Wminusenu, 	0.818182, 	-0.636364, 	0.183492, 	-0.001576, 	0.818085, 	9, 	-1, 	10
Wminusmunu, 	0.777778, 	-0.666667, 	0.156258, 	0.043161, 	0.800581, 	15, 	-1, 	16
Wminustaunu, 	1.000000, 	1.000000, 	2.369081, 	0.333333, 	-1.702414, 	0, 	-1, 	1
